Timestamp,Gender,Age,Ethnicity,Transfer,Citizenship,First Generation?,High School GPA,What's your major/s?,Is your major/majors STEM/non-STEM?,,High School GPA,Do you get financial aid?,Do you work?,"If you work, how many hours a week?(0 if you don't work)",My high school/community college preparation prepared me for my courses at UCLA.,My high school prepared me for my major courses. ,"Prior to college, I could connect with my educators.",My study techniques prior to college were ineffective for my UCLA courses and made me fall behind.,"When entering UCLA, I was not informed of all the resources I could use.",Being an underrepresented minority helps me get more support from professors.,From a gender point of view I can identify with my professors.,From an ethnic point of view I identify with my professors.,My professors understand the challenges of minority students in higher education.,"When I go to office hours, I feel like my questions are elementary compared to others.",Professors should learn about the challenges minority students face in higher education.,I’ve had experiences with academic counseling that makes me feel like I don’t belong in school.,"When placed in group work, team members give me support and treat me equally.",My peers in my major are very competitive.,I feel there’s a sense of community among my peers in my classes.,I feel my peers support when I have an academic accomplishment.,My peers do not understand my challenges as a minority student.,I do not feel like I belong because I am a minority and others don’t share my challenges.,I have study groups with my peers.,Diversity in higher education is encouraged but not enough is done to help retain minority students.,My family does not understand the challenges of being in higher education.,I find my classes enjoyable and applicable to my life/future plans.,I go to office hours.,I speak to professors outside of office hours.,I plan to go to graduate school.,What is your major challenge at UCLA?,What is your best part about your UCLA experience?,What could improve your experience at UCLA?,UCLA GPA
5/6/2019 23:10:53,Male,23,Hispanic/Latino/a,No,Citizen,Yes,4.02,Statistics,STEM,,,Yes,Yes,10,3,3,7,4,5,4,4,3,4,5,7,7,6,6,5,4,4,3,6,7,7,5,Yes,Yes,No,Time Management ,Meeting Exciting and Interesting People,Improve and Adapt Study Habits,2.96
5/6/2019 23:59:04,Female,21,Hispanic/Latino/a,No,Permanent Resident,No,4.3,Statistics ,STEM,,,Yes,Yes,10,3,2,5,5,6,2,2,2,2,6,6,6,5,6,1,1,6,3,6,4,2,5,Yes,No,Yes,Classes ,Friends,Easier classes,3
5/7/2019 3:04:13,Female,19,Hispanic/Latino/a,No,DACA,Yes,4.1,Political Science ,non-STEM,,,Yes,Yes,40,1,1,1,7,7,1,1,1,2,7,7,7,3,5,1,3,4,4,1,7,5,5,Yes,No,Maybe,Mental health ,Health insurance ,Having a larger group of peers who support me ,3
5/7/2019 3:30:04,Female,19,Hispanic/Latino/a,No,DACA,Yes,3.8,Chicanx Studies/ Sociology ,non-STEM,,,Yes,Yes,9,7,7,7,3,5,5,4,6,6,5,7,4,2,6,6,6,3,2,5,7,5,5,No,No,Maybe,Balancing the workload/getting enough sleep/ avoiding procrastinating/ at first finding community was a challenge,The different types of knowledge I have been exposed to/ bonding and being in community ,Being able to manage my workload/time more efficiently ,3.6
5/7/2019 4:24:51,Female,21,Southeast Asian American,No,Citizen,Yes,3.9,Economics ,non-STEM,,,Yes,Yes,30,5,1,6,3,2,2,6,5,4,2,2,1,7,4,5,5,2,1,6,2,7,1,No,No,No,"Handling work, classes and extracurriculars ",The community I’ve found in various orgs on campus,More support and guidance my first year,3.1
5/7/2019 22:37:53,Female,20,Hispanic/Latino/a,No,Citizen,Yes,4,Biology ,STEM,,,Yes,No,0,3,2,2,4,6,2,2,2,2,5,7,6,4,7,5,4,4,6,2,5,6,3,Yes,No,Yes,Commute,Food,More support of the minority groups,3
5/7/2019 23:35:54,Male,21,Hispanic/Latino/a,No,Citizen,Yes,4.87,Biochemistry ,STEM,,,Yes,No,0,3,2,3,6,5,4,7,7,6,6,5,4,5,7,3,4,5,5,5,5,3,5,Yes,Yes,Yes,I always had challenges in viewing the bigger picture from what I’m studying. Sometimes I don’t know why I’m studying a certain topic.,Some of the professors are really helpful and really want you to understand. ,Different teaching styles instead of just lecturing and writing stuff on the board. Different voice tones instead of monotone. ,3.206
5/8/2019 1:48:38,Female,20,Southeast Asian American,No,Citizen,No,4.3,Anthropology,STEM,,,No,Yes,10,5,5,3,3,5,4,3,2,3,4,7,4,5,3,4,4,4,4,6,7,4,4,No,No,Maybe,Connecting with professors and finding academic opportunities outside the classroom,Joining various orgs and clubs,Having professors/instructors that understand the experiences of POC/underrepresented students,3.5
5/8/2019 2:01:10,Female,22,Hispanic/Latino/a,No,DACA,Yes,3.83,Sociology ,non-STEM,,,Yes,Yes,15,3,3,3,5,2,1,1,1,1,1,7,3,3,5,1,3,7,6,1,7,7,5,No,No,Yes,"Keeping my sanity while juggling school, work, home life, and extra curriculars",I’ve met other students who are from a similar background and we empower one another.,There being more institutional support for minority students instead of everything being grassroot and then it becoming institutional.,3
5/8/2019 2:46:38,Female,21,Hispanic/Latino/a,No,Citizen,Yes,4.4,Statistics,STEM,,,Yes,Yes,18,3,2,6,5,7,4,5,3,6,5,6,7,2,5,6,5,2,3,6,6,6,6,Yes,No,Maybe,Studying enough,Support from friends.,Resource awareness ,2.9
5/8/2019 2:48:05,Female,22,Southeast Asian American,Yes,Citizen,No,3.5,MCDB,STEM,,,Yes,Yes,10,7,7,6,2,2,4,7,5,6,5,7,1,7,7,6,7,1,1,7,7,3,7,Yes,Yes,Yes,Getting good grades,My living situation on campus,More resource awareness like meal vouchers for financially unstable students,3
5/8/2019 3:32:32,Male,22,Hispanic/Latino/a,No,Citizen,No,3.8,Psychology,non-STEM,,,No,No,15,5,5,6,6,3,5,5,3,4,4,6,4,4,5,3,4,5,4,1,5,3,5,Yes,Yes,Yes,"Balancing volunteer work, my relationship, GPA goals and independent research ","The autonomy, the availability of excellent research opportunities, and strong mentorship by one of my professors.","Better counseling services (academic and psychological and student support groups, OR outreach if it already exists) , a student support group to talk about the challenges of student life so that I don't feel alone in my struggle.",3.25
